CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
ASCC 16,2M05245227+0138439,0.6428349154502071,0.024166670989256976,0.0001360029,-0.06839111,-0.11525,0.008491387,175.4695,4265.4,4.537736,20.45513,81.217796,1.645528,0.013489632380568446,7.130000114440918,-0.1009515,-0.06354701,-9999.0,1.0,0.9,0.94
ASCC 16,2M05245425+0140026,0.6373550693943234,0.02114840445351418,0.00505735,-0.05975175,0.011294,0.009160566,141.9468,3814.159,4.596167,19.78155,81.226055,1.667405,0.013489632380568446,7.130000114440918,-0.05822314,-0.03930865,-9999.0,0.88,0.02,0.54
ASCC 16,2M05245500+0139229,0.7388762965674038,0.08998361207162824,0.0423613,-0.08663809,-0.068525,0.005707514,245.5343,5601.804,4.026893,21.64935,81.229181,1.656371,0.013489632380568446,7.130000114440918,-0.1427525,-0.172118,0.352931,0.66,0.77,0.31
ASCC 16,2M05251208+0109022,0.6077601638074361,0.02104807682835348,-0.004968204,-0.04912809,-0.12451,0.008249315,195.2654,4172.78,4.620329,19.38617,81.300366,1.150613,0.013489632380568446,7.130000114440918,-0.1251415,-0.087177,-9999.0,0.73,0.79,0.0
ASCC 16,2M05251394+0143313,0.6276576601177082,0.022398686024972646,-0.003570601,-0.06172109,-0.064985,0.009659375,145.3655,3873.167,4.583766,21.28087,81.308116,1.725368,0.013489632380568446,7.130000114440918,-0.07544149,-0.036981,-9999.0,0.82,0.72,0.36
ASCC 16,2M05251705+0148223,0.5444869113773649,0.024321541458003946,-0.02316,-0.0195751,-0.10914,0.008390182,163.7594,4524.254,4.48181,20.70066,81.321054,1.806205,0.013489632380568446,7.130000114440918,0.003020503,-0.007673003,-0.025524,0.98,0.96,0.5
ASCC 16,2M05252107+0011022,0.25240464586463623,0.015818540690004684,-0.400288,-0.062813,-0.050692,0.007095926,253.4308,4993.894,4.256794,7.877582,81.3378,0.183952,0.013489632380568446,7.130000114440918,-0.091587,-0.1063698,-0.109936,0.0,0.51,0.52
ASCC 16,2M05252125+0146555,0.6113230052128056,0.023558090904396544,-6.670505e-05,-0.0467651,-0.066732,0.01075682,123.5753,3775.758,4.583,20.32579,81.338569,1.782086,0.013489632380568446,7.130000114440918,-0.0315765,-0.01383501,-9999.0,1.0,0.75,0.56
ASCC 16,2M05253440+0152197,0.6162925750032915,0.021923032656191693,-0.007179499,-0.05739409,-0.099604,0.009772208,152.6714,3824.888,4.578469,20.11909,81.393357,1.872157,0.013489632380568446,7.130000114440918,-0.05785749,-0.021963,-9999.0,0.97,1.0,0.04
ASCC 16,2M05253565+0128232,0.6231053002352005,0.02118447913591886,-0.002436999,-0.0574261,-0.058244,0.008854487,161.2176,3979.143,4.591477,20.53166,81.398555,1.473113,0.013489632380568446,7.130000114440918,-0.1012525,-0.08616799,-9999.0,1.0,0.62,0.43
