name,ra,dec,tic_id,Tmag,R_star,M_star,Teff,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,T0_BTJD,sde,R_p_Rearth,a_AU,T_eq_K,is_systematic_period,proc_time_s,status,centroid_offset_arcsec,centroid_sigma,centroid_direction_R,centroid_verdict,eb_screen_verdict,eb_n_pass,eb_n_inconc,eb_n_fail,eb_sde_ratio_2P_1P,eb_oddeven_sigma,eb_posfrac,eb_duration_ratio,eb_companion_RJup,eb_secondary_ppm
2M19480336+7019122,297.014036,70.320061,nan,,1.3695110845965888,1.0073741525324258,5849.1875,7.0,433.6079033274714,99800.0,22234.675059775,64.27707125526555,1.92,32299.553353120562,2425.318067358476,2.1981051952593833,26.877350106192793,0.3148044321543151,588.2898097662061,False,54.378536224365234,no_signal_SDE_2.2,,,,,,,,,,,,,,
2M16573813+6027201,254.408915,60.455589,nan,,1.3784930426851938,1.0087363177058022,5862.3755,17.0,1979.4715883708707,260730.0,659.5256571563049,212.85295411816472,4.800000000000001,346.3893655924194,1883.9740440265168,5.9132148643796105,2.801621696915202,0.6997112511332413,396.78013331231006,False,101.23835587501526,no_signal_SDE_5.9,,,,,,,,,,,,,,
2M19395789+6509005,294.991245,65.150154,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
2M16584441+5817239,254.685059,58.289982,nan,,1.0139103825007785,0.9812137841136306,5598.224,2.0,243.6294165334259,28823.0,2182.6772218822016,16.462777366319948,1.2000000000000002,1153.5456283156266,1746.3818429533226,6.063174287634589,3.7604480857162335,0.12585287289728128,766.217233417142,False,35.149314403533936,no_signal_SDE_6.1,,,,,,,,,,,,,,
2M18464473+5923422,281.686394,59.395081,nan,,1.4837294754820054,0.9887806269790396,5670.362,39.0,1979.4707759308365,592287.0,1121.7936397027597,246.00784031361252,4.800000000000001,647.8986253466446,1694.8697855839287,8.490488913001384,4.124116187194874,0.7654893133630132,380.6729409387133,False,154.32028794288635,SDE_OK_ON_TARGET_SURVIVED,0.006003032537490764,1.7104187492631182,0.015375741535525187,ON_TARGET (offset not significant),SURVIVED,4.0,2.0,0.0,0.6369379957852803,,1.0,0.25501221884453595,0.3678961808380797,3.380702070510111
2M18465371+5652577,281.7238,56.882706,nan,,1.7514811857947494,1.0501514904187033,6268.9883,8.0,378.3249381085925,121602.0,861.6612569213571,67.89352867991484,4.800000000000001,333.28468688138474,2451.3995641233223,4.167578535352824,3.4916909309470006,0.3310620668502958,695.3106992791433,False,61.902315616607666,no_signal_SDE_4.2,,,,,,,,,,,,,,
2M18481299+6634361,282.054136,66.576706,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
2M18414592+5818402,280.441346,58.311192,nan,,1.107980615610195,0.989249466543058,5674.8438,22.0,1979.4705706790512,325151.0,1642.0524023632936,221.1267050682027,4.800000000000001,1132.8816955816765,1691.4198729862135,5.745424857669098,4.072368604442283,0.7130761674720719,341.1029364764122,False,112.00711274147034,no_signal_SDE_5.7,,,,,,,,,,,,,,
2M17553997+5747197,268.916548,57.788807,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
2M16271320+6258050,246.805038,62.968075,nan,,0.7669576898298923,0.8631643846057948,4521.3354,27.0,1979.4723534648658,419727.0,2431.809421142481,177.59220368814752,4.800000000000001,1963.439480443143,1777.6736076582201,8.410378489513286,3.7111012580513076,0.5887355830555796,248.84316193832052,False,173.41493606567383,SDE_OK_INCONCLUSIVE_SURVIVED,0.027593078847539233,4.629070804520067,0.3432182901102484,INCONCLUSIVE (significant offset but direction scatters across sectors),SURVIVED,5.0,1.0,0.0,0.48902093652748174,,1.0,1.0249085705138645,0.33105274380475536,0.05979064410244206
2M16353404+7409513,248.891839,74.164268,nan,,1.11611279104715,1.0421385724983705,6189.468,16.0,1979.4741120093702,256869.0,701.069383019081,143.97821912876515,4.800000000000001,1202.110529179441,1768.4928787388835,6.978064025257988,4.225741477554648,0.5450623765298697,427.0883132019364,False,87.76977682113647,no_signal_SDE_7.0,,,,,,,,,,,,,,
2M18411669+6024358,280.319546,60.409958,nan,,0.9623080035375116,0.9818670719256118,5604.4375,17.0,1979.4709746548176,241349.0,1811.3500754159845,70.75203008120324,2.4000000000000004,826.6178116076509,1730.3546684711625,5.0010564093910235,3.0212670600560005,0.3327489439761666,459.5832183193241,False,93.73337936401367,no_signal_SDE_5.0,,,,,,,,,,,,,,
2M18412939+6018105,280.372499,60.302921,nan,,1.4457249943053008,1.023051222581722,6001.6846,27.0,1979.4709537648448,416601.0,681.8878689539441,154.16820672826913,4.800000000000001,272.4980362951038,1761.059679611643,6.6936085251699025,2.6060936390179905,0.5669814588009849,462.13090249791657,False,122.81006956100464,no_signal_SDE_6.7,,,,,,,,,,,,,,
2M18425738+5956205,280.739092,59.939053,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
2M18431359+5653462,280.806629,56.896168,nan,,1.831094209031904,1.031523385622238,6084.749,33.0,1924.1706623243688,511627.0,819.84509887748,227.13490539621583,1.2000000000000002,2269.2768761368397,1847.9546509207526,6.086445462187665,9.525265097705061,0.7361316036467155,462.7577562270539,False,152.10288524627686,no_signal_SDE_6.1,,,,,,,,,,,,,,
2M18425217+7153082,280.717384,71.885628,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
2M16175444+6653486,244.476859,66.896851,nan,,1.5193931084638188,1.0554904409478605,6322.1973,2.0,298.92733534956756,31854.0,1223.0812714587607,43.63874356991933,1.2000000000000002,1249.2700178741395,1696.3582666344341,3.443715124019124,5.864364406908665,0.2469862504826963,756.1364225809735,False,37.19019389152527,no_signal_SDE_3.4,,,,,,,,,,,,,,
2M16175444+6653486,244.476859,66.896851,nan,,1.4383278873113865,1.050601948377735,6273.4707,2.0,298.92733534956756,31854.0,1223.0812714587607,43.63874356991933,1.2000000000000002,1249.2700178741395,1696.3582666344341,3.443715124019124,5.551478956187388,0.24660435557716046,730.5835321702095,False,11.496352195739746,no_signal_SDE_3.4,,,,,,,,,,,,,,
2M19385368+6502447,294.72368,65.045769,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
