cluster,age_gyr,n_match,n_ba,cl_ba_fe,match_ba_median,rand_ba_median,delta_match,delta_rand,closer,mw_p
IC_2714,0.5248077829311784,10031,9862,0.10675079375505447,0.06143322214484215,-0.0057570356875658035,0.11419007927179337,0.14342668652534485,True,0.0
Juchert_13,2.290865841769215,5598,5589,0.19639338552951813,0.0320725217461586,-0.006682556122541428,0.17209690809249878,0.21118667721748352,True,0.0
LP_2059,0.2691536695250797,24883,24717,0.15613538026809692,0.03985752910375595,-0.0054345279932022095,0.13664975762367249,0.17659367620944977,True,0.0
LP_2068,0.2238723104986867,15921,15901,-0.0185120590031147,-0.02729067951440811,-0.005653340369462967,0.08168542385101318,0.10885141789913177,True,0.0
LP_2094,0.1479108648008083,2423,2413,0.1165899708867073,0.029444143176078796,-0.004774127155542374,0.12346455454826355,0.14860549569129944,True,2.9974755e-14
LP_2117,0.6309576215861531,21063,20991,0.20064835250377655,0.011310480535030365,-0.0047961995005607605,0.1924009472131729,0.21401748061180115,True,0.0
LP_2210,0.1288248533293804,6140,6038,0.03287886455655098,0.05268465727567673,-0.009973617270588875,0.09329265356063843,0.11394689977169037,True,3.2749738e-25
LP_2220,0.4570880290185208,12673,12401,0.22965049743652344,0.09011586755514145,-0.003665681928396225,0.15533438324928284,0.23886096477508545,True,0.0
LP_597,0.5370312303176601,18954,18935,-0.016841968521475792,-0.03339531645178795,-0.005172118544578552,0.0848977193236351,0.10905302315950394,True,0.0
LP_930,2.290865841769215,5907,5822,0.10622060298919678,0.05956847220659256,-0.002706903964281082,0.11310797929763794,0.14086563885211945,True,0.0
Lynga_14,,20812,20767,0.17484919726848602,0.02515590190887451,-0.0053023360669612885,0.15984869003295898,0.1906542181968689,True,0.0
Melotte_101,0.1659587927845761,23052,22935,0.08816620707511902,0.031661465764045715,-0.007286377251148224,0.11161347478628159,0.13621312379837036,True,0.0
Muzzio_1,0.0077624687798841,24212,24052,0.06926560401916504,0.04425616189837456,-0.007927685976028442,0.10566823184490204,0.12736859917640686,True,0.0
NGC_2112,2.089294662720361,19821,19553,0.13168863952159882,0.06749226897954941,-0.004416812211275101,0.11710944026708603,0.1593226194381714,True,0.0
NGC_2232,0.0177827941003892,17956,17608,0.14155671000480652,0.05359375476837158,-0.005536027252674103,0.12323959171772003,0.16575995087623596,True,0.0
NGC_2254,0.3467368199963294,24991,24763,0.04400632157921791,0.06197086721658707,-0.004850059747695923,0.10055661201477051,0.1164330542087555,True,0.0
NGC_2287,0.1698241862446276,13195,12890,0.07908493280410767,0.03840301185846329,-0.006951838731765747,0.10483059287071228,0.13116353750228882,True,0.0
NGC_2318,0.4365161773191,16692,16517,0.06047715246677399,0.03620155155658722,-0.007211662828922272,0.10027437657117844,0.1208035796880722,True,0.0
NGC_2516,0.239883355113592,19507,19199,0.0668259784579277,0.04952661693096161,-0.00572841614484787,0.10012520104646683,0.1255498081445694,True,0.0
NGC_2527,0.6918312139914402,15140,14796,0.3408203721046448,0.09328516572713852,-0.006092915311455727,0.25024253129959106,0.3492840528488159,True,0.0
NGC_2533,1.047129651766654,18348,17932,0.1911250501871109,0.07800658047199249,-0.006501480937004089,0.13592006266117096,0.20647701621055603,True,0.0
NGC_2539,0.6918312139914402,16726,16641,0.04422324150800705,0.005294986069202423,-0.004392050206661224,0.10310398787260056,0.11594047397375107,True,3.17254e-40
NGC_2547,0.0323593827469971,28129,27999,0.11278211325407028,0.030667386949062347,-0.005730021744966507,0.12228504568338394,0.14641132950782776,True,0.0
NGC_2548,0.3890452816839944,17891,17742,0.14389526844024658,0.04247530549764633,-0.00547686405479908,0.12885716557502747,0.1668454110622406,True,0.0
NGC_2587,0.3162277660168379,11990,11925,-0.03653871268033981,0.008996814489364624,-0.006872065365314484,0.09111340343952179,0.11091223359107971,True,1.15e-43
NGC_2588,0.5495405842387225,25087,24782,0.19569902122020721,0.06806164979934692,-0.006491461768746376,0.14481613039970398,0.21091055870056152,True,0.0
NGC_2632,0.6760828566222641,21595,21390,0.011391034349799156,0.048506367951631546,-0.0038891229778528214,0.09524945914745331,0.11142081022262573,True,1e-44
