cluster,age_gyr,N_template,C_O_std,observed,mc_median,mc_std,enrichment,p_value,significant
UBC_503,1.5488151224416984,29,0.0836,17438,6768.0,8320.058715513971,2.576536643026005,0.17,False
UBC_504,0.0112201894707378,8,0.0908,13023,6009.5,8152.893210014467,2.167068807721108,0.265,False
UBC_509,0.5888442760205689,12,0.0944,14479,7236.5,8820.199241512348,2.000829130104332,0.235,False
UBC_512,0.2951211041237279,13,0.0954,29012,5979.5,6669.242338406965,4.851910694874153,0.015,False
UBC_518,0.0301995185303324,5,0.0798,13598,5149.0,8231.86081454248,2.640901145853564,0.225,False
UBC_528,2.691536695250797,18,0.0804,19489,5537.5,8944.09907572585,3.5194582392776526,0.155,False
UBC_529,0.1659587927845761,10,0.0815,25842,6101.5,8953.38572786714,4.23535196263214,0.065,False
UBC_533,0.0891250546711345,10,0.0911,13167,6512.0,8449.136399595818,2.0219594594594597,0.27,False
UBC_541,0.021877623926123,18,0.0977,10418,6072.5,9051.712650272322,1.715603128859613,0.365,False
UBC_550,0.0467735223455781,7,0.0889,4768,5731.0,8086.165392811354,0.8319664979933694,0.545,False
UBC_552,0.0112201894707378,9,0.0503,11366,5664.0,9058.907989320513,2.0067090395480225,0.315,False
UBC_553,0.0131825639118268,7,0.0712,16181,6823.0,8290.590825615205,2.371537446870878,0.185,False
UBC_554,0.0602559877171915,8,0.0994,11697,6015.5,8342.027761875406,1.9444767683484332,0.31,False
UBC_557,0.1445439262895664,11,0.0928,14180,5935.5,8329.797921977159,2.389015247241176,0.255,False
UBC_558,0.0072443618278712,7,0.0744,17173,5542.5,8280.954392846274,3.0984212900315744,0.175,False
UBC_559,0.0114815347022194,12,0.0643,16660,6809.5,8645.985714301176,2.446581981055878,0.19,False
UBC_562,0.0117489801933541,12,0.0987,17254,5800.0,8866.755834011388,2.9748275862068967,0.19,False
UBC_618,0.7244353873869618,11,0.0545,16224,5951.5,9166.648631528318,2.7260354532470807,0.225,False
UBC_622,0.7585777749219503,16,0.0441,25145,6075.5,8463.064685295747,4.138754012015472,0.06,False
UBC_627,2.089294662720361,10,0.0723,23236,5760.0,8119.240440261331,4.034027777777778,0.075,False
UBC_632,,27,0.0856,21338,6704.0,9401.129702029166,3.182875894988067,0.14,False
UBC_646,0.0229086835704537,28,0.0967,14174,5274.5,7904.081755610515,2.6872689354441177,0.205,False
UBC_650,0.0776246877988414,10,0.0629,8542,5910.5,8940.484582894542,1.4452246002876237,0.405,False
UBC_651,0.1584892496402718,5,0.0618,18311,6436.0,8476.840330215911,2.8450901180857677,0.17,False
UBC_652,0.01,7,0.0978,14929,5196.0,8309.624142107752,2.8731716705157813,0.21,False
UBC_654,0.0089125054671134,12,0.0861,15593,5888.5,8819.261317762106,2.6480427952789336,0.195,False
UBC_656,,11,0.0878,12057,4715.5,8814.829085806203,2.556886862474817,0.28,False
UBC_660,1.0,20,0.0922,18855,6317.0,8284.727868492422,2.9848029127750513,0.145,False
UBC_664,0.0407380403044348,6,0.0744,27006,7118.0,8806.020697318398,3.794043270581624,0.05,False
