host,planets,pl_R_min,match_gaia_id,rms_dex,sep_deg,match_dist_pc,R_gal_kpc,Z_pc,n_matches
K2-131,K2-131 b,1.69,3583701646423719552,0.011342809135081183,5.097664364271657,660.3805940288904,7.9904936177349715,567.5746793045168,4622
K2-169,K2-169 b,1.27328671,2952451817396231936,0.006865180354858452,228.74801016635382,895.0991251338153,8.784217088498583,100.24442405401442,39401
K2-169,K2-169 b,1.27328671,4654923729084586880,0.009035518483877772,262.72574150244526,963.1134052385011,7.9950833615547925,542.0977508067601,39401
K2-169,K2-169 b,1.27328671,5826512437202246016,0.009199728612353027,107.66763945837553,1518.836525438784,6.9935286695123455,146.08403091349476,39401
K2-102,K2-102 b,1.3,5467588101903417600,0.015793322866609154,55.123671832036266,313.33755343273776,8.130161027055102,152.4464880319216,1633
K2-102,K2-102 b,1.3,5501103621500371328,0.016983813729923365,78.5943427171387,385.1683795128239,8.18787345377633,142.99972432464867,1633
K2-102,K2-102 b,1.3,4294501962064458880,0.017634591360336006,153.27798840113624,181.58349410917472,7.989627535638535,2.5963026351822585,1633
K2-46,K2-46 b,2.05,6110576862533012992,0.0023931806659788766,53.90365948314068,470.0401328962135,7.810724994926393,174.36992574421885,39712
K2-46,K2-46 b,2.05,5751034502963256960,0.004335330685543009,43.01313960455004,917.7803790687792,8.647126144477985,356.6777810675391,39712
K2-46,K2-46 b,2.05,6789844876907605888,0.0046098244845172,149.7886652970081,691.3138073025393,7.664466376930677,468.2134611982279,39712
K2-64,K2-64 b,2.07,6392330329219571328,0.002257807515507055,55.260169807993115,430.56268652236366,7.897725726043456,294.3096406534058,29190
K2-64,K2-64 b,2.07,6389172291306187392,0.006243277215170941,60.28126486994954,464.01028651293524,7.925463264872128,334.4814577585883,29190
K2-64,K2-64 b,2.07,6210122835679971328,0.007459497442334389,98.05114620433812,245.47604025561625,7.9060658074396315,111.02336151038122,29190
HIP 116454,HIP 116454 b,2.469,6384122401903228032,0.007845701369554352,71.77841242446752,159.92620728896895,8.039041445434101,89.40364561363342,3302
HIP 116454,HIP 116454 b,2.469,6049754696783263744,0.00786365773860973,113.99360807083971,92.92679716629553,8.035378187255903,50.999337822403795,3302
HIP 116454,HIP 116454 b,2.469,6784824128858080128,0.008483555889971572,43.78523310372706,253.29033295542067,7.957936241066478,167.33980428140413,3302
K2-130,K2-130 b,1.25,5954488714387144576,0.004292011504349357,32.295760075226475,183.4128869696585,7.946246618026264,11.984227964670247,83829
K2-130,K2-130 b,1.25,6895420327003718016,0.005163825392897266,26.61967760242258,,,,83829
K2-130,K2-130 b,1.25,6644322176512181760,0.005494792457139148,34.582892937145715,1730.7539786508485,6.623043778152609,666.504811524396,83829
K2-202,K2-202 b,2.30165603,3411953665261618816,0.003964461954558055,198.99353427797337,1801.7785338648125,9.870765420115296,412.77157518801937,127944
K2-202,K2-202 b,2.30165603,5461759178448329344,0.004494890609816489,120.67310715359014,1125.289234318849,8.24064559814642,414.22724139536086,127944
K2-202,K2-202 b,2.30165603,5477848194660627328,0.005021811421242736,181.3557220999145,697.1468574779602,8.117432464430157,315.0793318257516,127944
K2-170,"K2-170 c, K2-170 b",1.41817537,6195377968136275712,0.0032761251337904114,127.5980332309235,574.0505315292061,7.807201875682489,383.86690460506463,129779
K2-170,"K2-170 c, K2-170 b",1.41817537,6112415834394243328,0.0035948734462021292,126.88910465404327,475.749038081607,7.8160284516693554,186.81615523830067,129779
K2-170,"K2-170 c, K2-170 b",1.41817537,5915015735867351808,0.004423904181711783,89.83189653488125,,,,129779
K2-191,K2-191 b,1.57889322,5672697116981426176,0.008559576399173624,49.63711529999398,227.66858181318113,8.171818763402934,132.97995585444133,6106
K2-191,K2-191 b,1.57889322,3268275395618674560,0.009325541273966552,147.0494221396015,223.3332203452521,8.287744666404809,128.84687625101733,6106
K2-191,K2-191 b,1.57889322,5560466219926944384,0.011444913624185817,91.84073120970216,238.70153034927532,8.189401271517228,25.452222366320903,6106
K2-244,K2-244 b,1.75,5496916097105816704,0.00734720833322967,97.03560867077974,81.68425795543662,8.129028583578412,11.111535001043709,12559
K2-244,K2-244 b,1.75,6687674335148144896,0.01021132568424306,121.91951998807134,420.9800100216533,7.756924564894067,188.86947097333712,12559
K2-244,K2-244 b,1.75,6780680859807841152,0.010881325985889775,133.97948164585472,1872.772001694643,6.715030311828952,1181.4301882680252,12559
K2-269,K2-269 b,1.57,5459488137183165952,0.0022797113559230864,49.85414734964252,551.2171859326126,8.160233925575428,212.30219937791333,167342
K2-269,K2-269 b,1.57,5461313738802074752,0.00329742876147174,50.03231654246855,494.3556065137064,8.143516433310372,213.09352010056114,167342
K2-269,K2-269 b,1.57,5629404636919047424,0.004331957976127874,44.06947009548228,935.524825622394,8.397991456576397,189.753042372764,167342
EPIC 212424622,EPIC 212424622 b,2.17,3412206179276136576,0.0064028378056120465,128.5398296422846,301.79120763493165,8.416762520890222,43.82679047842641,111512
EPIC 212424622,EPIC 212424622 b,2.17,3412291387130371072,0.006793853367242979,128.48457920210666,1793.954896711295,9.876743064785442,352.0999445084834,111512
EPIC 212424622,EPIC 212424622 b,2.17,6153262893221519872,0.0071500550606626075,27.108431394480796,452.9886081898513,7.917494770824851,204.25952597522055,111512
K2-168,"K2-168 b, EPIC 205950854 c",1.31,6378910201391793920,0.007352149397220309,59.766584520590584,438.6099000697244,7.907314644958831,267.9987379269328,11315
K2-168,"K2-168 b, EPIC 205950854 c",1.31,605661689488563968,0.007538341840026356,192.18159057798576,283.7385054084222,8.314103602181735,184.30332395572574,11315
K2-168,"K2-168 b, EPIC 205950854 c",1.31,6362634680521695104,0.00899375514789767,69.26856935522434,137.25917173575186,8.037648699941707,48.391717719521544,11315
EPIC 249893012,EPIC 249893012 b,1.95,5684447116711203840,0.004700155546129705,77.6365937768453,361.36015562010334,8.224118491008609,188.15252257549386,87493
EPIC 249893012,EPIC 249893012 b,1.95,6095356563588989952,0.006702914971962296,35.44142799722382,1029.6232067586386,7.461735911194537,278.1786968901366,87493
EPIC 249893012,EPIC 249893012 b,1.95,6845840324052439168,0.007261108570715263,72.43063869755689,695.7019142517937,7.5332240028031325,318.352260182946,87493
K2-185,"K2-185 b, K2-185 c",1.15,3198858764089338752,0.0037810947217287788,64.9624157162422,420.38669556483995,8.441712777842842,219.88181158427435,48030
K2-185,"K2-185 b, K2-185 c",1.15,2897257295751561600,0.005746937846908342,58.82263999959263,278.48015023156825,8.26673611194329,86.55130077364461,48030
K2-185,"K2-185 b, K2-185 c",1.15,5817632712552151168,0.0065296444006051075,142.74191496346452,400.41826402987095,7.801761750418415,67.41216093681149,48030
EPIC 212587672,"EPIC 212587672 b, EPIC 212587672 c",1.26,4421218306343077632,0.003455707540534076,28.340732785683883,546.2225113381675,7.74290242851981,412.3773448894314,123281
EPIC 212587672,"EPIC 212587672 b, EPIC 212587672 c",1.26,6403254660140204160,0.0038957273173411506,127.52404768010099,545.4111235479564,7.774052279555585,346.4447785525367,123281
EPIC 212587672,"EPIC 212587672 b, EPIC 212587672 c",1.26,2952164668761749632,0.003977134952537113,102.09258322443549,1600.7291584797929,9.316193212480815,183.8298118210515,123281
EPIC 212624936,"EPIC 212624936 c, EPIC 212624936 b",1.2,6462505387552211840,0.0033660430933713376,120.33346901154715,430.0463091487859,7.838751806110526,292.13422023795846,15697
EPIC 212624936,"EPIC 212624936 c, EPIC 212624936 b",1.2,5266336856512921984,0.006334234694608272,129.74560517787407,297.90713412743423,8.070563619829315,120.10074028436674,15697
EPIC 212624936,"EPIC 212624936 c, EPIC 212624936 b",1.2,2740386948158351616,0.007909009539548116,147.565864062186,286.05440889312246,8.149130381227744,216.72088263561633,15697
