cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
UBC_299,16,0.4816,0.1116,0.0,0.115,0.127,-24.87,29.31,0.2951211041237279,0.1-0.3,7.900779003913856,0.010062400861573232,0.010062400861573232
Gulliver_32,9,0.4268,0.1118,0.0,-0.121,0.108,30.75,42.16,1.288248533293805,1-2,8.651333746541017,0.01664837028631749,0.01664837028631749
UBC_668,10,0.4727,0.1118,0.0,0.093,0.083,-17.25,25.55,0.512861429039393,0.5-1,7.839463967027824,0.013392000750824824,0.013392000750824824
NGC_5823,3,0.6103,0.112,0.0,-0.065,0.188,-36.09,44.19,0.0794328409152129,<0.1,7.723641216856566,0.04211469377383635,0.04211469377383635
Haffner_21,7,0.3795,0.1124,0.0,-0.075,0.164,29.43,20.79,0.2691536695250797,0.1-0.3,8.247527097567843,0.02927533274676074,0.02927533274676074
UBC_561,16,0.4281,0.1124,0.0517,0.042,0.171,-23.41,24.64,0.2691536695250797,0.1-0.3,7.531056562975261,0.00906006595878513,0.00906006595878513
Ruprecht_96,26,0.3829,0.1124,0.0812,-0.025,0.227,-5.69,21.69,0.0467735223455781,<0.1,8.007727913468585,0.020022959783956743,0.020022959783956743
Gulliver_14,5,0.3993,0.1129,0.0,0.097,0.096,-24.91,40.05,0.602559215586761,0.5-1,7.388311069486624,0.022399518317843526,0.022399518317843526
Ruprecht_44,24,0.3921,0.1129,0.0,-0.103,0.177,58.81,23.14,0.0144543926289566,<0.1,8.185637602820943,0.022265350226308368,0.022265350226308368
Ruprecht_108,24,0.4916,0.113,0.0,0.01,0.179,-25.53,27.3,0.0831763917221371,<0.1,7.557642230512782,0.0864782778397843,0.0864782778397843
NGC_4463,5,0.4496,0.113,0.0,0.0,0.111,-19.06,19.68,0.0288403175645028,<0.1,7.8685322486302995,0.0016423360937224858,0.0016423360937224858
