ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
103.63904,-1.2706945,0.4649630585630429,0.09793478477778052,-0.24565402,-0.043539856,0.028614039,0.007586889,0.048195574,0.0012825876,49.294815,0.3567855,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4051
103.81563,-1.5214444,0.3570955666501808,0.07436543778772063,-0.44266117,0.096505634,0.28329352,0.1714572,0.13494553,0.1355809,34.140785,5.8763113,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.2861
103.701,-1.2089722,0.6673524433176778,0.07966112047972662,-0.083345406,0.08263181,-0.0021511004,-0.072473936,0.11087051,-0.18100233,36.56138,11.034891,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.479
103.82925,-1.2665278,0.3321239836783095,0.11437271943733433,0.0052421466,-0.040874396,0.17739771,0.01005666,0.011097811,0.1371505,32.087276,7.2311316,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.479
103.869415,-1.2905,0.3981027471140396,0.05154158057811705,-0.3217636,0.06764301,0.20722018,-0.0136838555,0.24517621,-0.04916072,8.698534,8.521181,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4827
104.02725,-1.8538055,0.759246265528267,0.0804642868860778,0.1551565,0.08390362,-0.0569067,0.097656585,0.17762005,0.26922685,-12.775025,9.023227,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4917
105.40559,-26.118944,0.3507589121271118,0.11625543697611207,-0.34263036,0.23861569,0.43317932,0.21588391,0.16405417,0.25632674,73.17054,8.149147,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.4805
105.4235,-26.14589,0.270679080462346,0.05178482587827136,-0.24521887,0.015391728,0.32250938,0.02710884,0.09431003,0.081639946,36.61641,1.4201361,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.4492
105.37412,-26.288,0.5870311775097052,0.18542692831313262,0.04455346,-0.008779479,-0.037868302,-0.021634243,-0.0011276323,0.10544363,8.256232,5.1664906,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.378
105.26342,-26.306305,0.7082726755082321,0.11790745222370429,0.27812025,-0.047013287,-0.15764143,0.019309409,0.056671534,0.16090897,28.564644,6.543993,ASCC_32,105.714,-26.512,-3.307,3.477,0.805,0.453
