cluster,n_match,B_X,med_d_true,match_idx,med_d_null,ratio
NGC_6231,18424,-0.04656967887,0.0960453135,[     8    164    224 ... 533375 533385 533431],0.1386998457000278,0.6924687840512915
NGC_6250,6781,0.13784081125,0.18639433125,[    19    342    358 ... 533175 533188 533336],0.1680638975381977,1.1090682411886594
NGC_6318,20716,0.070757916,0.10747862849999999,[    16    165    167 ... 533336 533374 533431],0.13678479398765145,0.7857498291052941
NGC_6755,14256,0.0985837994117647,0.13341424058823528,[    19     56    132 ... 533336 533374 533431],0.15687206561033437,0.8504652505796179
NGC_6756,16370,-0.0578672845,0.0968965205,[     8    147    167 ... 533382 533385 533427],0.1522792737021483,0.6363080026867308
Pismis_23,16431,0.08329875066666667,0.10858913933333333,[     4      8     10 ... 533375 533427 533442],0.14167982748743488,0.7664403695223567
Pozzo_1,12390,0.1454257738,0.126314205,[    18     29    145 ... 533348 533350 533371],0.13492527561177858,0.9361789659295916
Ruprecht_105,12287,0.1429598116666667,0.13265284966666668,[     4     10     16 ... 533355 533375 533442],0.13024690791850665,1.0184721601964277
Ruprecht_161,20978,0.09946911414285714,0.11296756585714286,[    16    165    167 ... 533353 533355 533431],0.12271578405840654,0.9205626376748405
Ruprecht_45,6016,0.08446424623076923,0.11184991923076923,[   154    191    194 ... 533327 533360 533398],0.11952337690135026,0.935799524164094
Ruprecht_58,22789,0.2055877358888889,0.1458323041111111,[    18     29    154 ... 533353 533371 533403],0.12333208644214912,1.1824360417312494
Ruprecht_61,18253,0.1536225073882353,0.1268542033882353,[    18     27     29 ... 533348 533350 533371],0.12738441726776542,0.9958376865012022
Ruprecht_77,17598,0.28435746142857143,0.21715292642857142,[    18     29    167 ... 533353 533371 533375],0.12376304227007036,1.7545862031632165
Ruprecht_91,18974,0.04499118054545454,0.10014443504545453,[    16    165    167 ... 533353 533355 533375],0.13020250274010267,0.7691437026011161
Ruprecht_98,29202,0.1372213916,0.1315085173,[    16     40    166 ... 533424 533431 533433],0.1340545585948745,0.9810074247264586
SAI_113,17220,0.10465010655555557,0.12124121344444444,[   167    196    198 ... 533374 533394 533399],0.13658406222170277,0.8876673564419699
Sher_1,13566,0.13791156089285714,0.12601682400000003,[     4     10     16 ... 533350 533355 533442],0.13024515709847626,0.9675355829523914
Stock_14,6203,0.11652103148545455,0.11838617851454546,[   167    253    270 ... 533191 533201 533355],0.12990337036085742,0.9113403153873648
Teutsch_103,22101,0.110637409,0.112839121,[    10     16     18 ... 533350 533371 533382],0.12551447767869817,0.8990127918856856
Teutsch_13,7979,0.23899795115384614,0.17055747615384614,[    29    191    194 ... 533297 533308 533327],0.12737129156743246,1.3390574442243934
Teutsch_38,2954,0.28570534393333336,0.24569884043333334,[    10     26    167 ... 532865 533189 533341],0.1195007930297104,2.0560435977378617
Teutsch_85,20707,0.11893355833076923,0.13269600233076922,[   171    224    253 ... 533290 533385 533424],0.14746429389881283,0.8998517459543304
Tombaugh_2,9138,0.218085414,0.1701159945,[    29    165    167 ... 533348 533355 533370],0.12785866002302682,1.3305003702476064
Trumpler_17,27673,0.09799516274999999,0.11126616725,[    16    166    171 ... 533403 533422 533431],0.12927799312160082,0.860673689027191
Trumpler_20,22547,0.14353817523285714,0.16889152123285714,[     8     19     40 ... 533425 533428 533431],0.15844918902229257,1.0659033490483527
UBC_210,16673,0.0654415309090909,0.1083330929090909,[     8     10     16 ... 533375 533382 533427],0.141818699805828,0.7638844035195349
UBC_229,14299,0.326017158,0.25139177799999995,[   171    191    194 ... 533353 533391 533422],0.12527922544821812,2.006651758107398
UBC_254,29925,0.016927144846153847,0.09804083515384615,[     8     16     40 ... 533424 533431 533433],0.13404190226742743,0.7314193061677428
UBC_264,20278,0.1988713483846154,0.1670882668846154,[   196    198    215 ... 533353 533355 533403],0.13993847339673368,1.1940123600670594
UBC_266,22507,0.2877342766666667,0.2438694826666667,[    40    166    171 ... 533393 533422 533424],0.12723189128898071,1.9167323553555295
UBC_277,12603,0.13162157766666668,0.12425628366666669,[   145    179    217 ... 533348 533350 533405],0.1302196755644,0.9542051393394532
UBC_286,15649,0.17116743799999998,0.17585248229999997,[     4      8     10 ... 533382 533385 533427],0.14268872705345473,1.232420289474734
UBC_289,30483,0.001035245000000003,0.10483024099999999,[   171    187    198 ... 533231 533371 533403],0.11491673258644741,0.9122278247960127
UBC_291,16897,0.04288220083333333,0.10517640883333332,[    19     96    132 ... 533385 533387 533399],0.15634880936827097,0.6727036122519878
UBC_292,17642,-0.008343571826086959,0.09031260182608696,[    16    165    167 ... 533336 533374 533431],0.13860192776730992,0.6515970108129168
UBC_301,12960,-0.008221446877272727,0.096358488,[    10     16     26 ... 533382 533427 533442],0.13766256523295958,0.699961444398027
UBC_302,5840,0.07183897260000001,0.105868467,[    10     26    122 ... 533243 533334 533341],0.13985495575237245,0.7569875978327931
UBC_315,8715,0.03828174775384615,0.10198099275384614,[   337    340    342 ... 533290 533336 533385],0.168455983340426,0.6053865866417865
UBC_354,21344,0.1969720872631579,0.1830610450131579,[     8     10     16 ... 533375 533428 533431],0.14092336707350836,1.299011291134349
UBC_443,12763,0.20311570195555556,0.14761053795555557,[    18     29    168 ... 533348 533350 533371],0.12392709430059648,1.1911078750665511
UBC_476,16792,0.0877951647,0.1076393325,[    18     26     27 ... 533341 533348 533350],0.13160002678078211,0.8179278920611804
UBC_479,24801,0.17534124381764707,0.13501674381764706,[    16     18     29 ... 533375 533403 533431],0.12530810677418885,1.0774781240686497
UBC_490,29049,0.3258331355,0.2761450855,[   166    171    186 ... 533422 533431 533433],0.1309698660089954,2.1084627625795505
UBC_491,15917,0.138439513125,0.122501417125,[   165    167    171 ... 533348 533353 533355],0.12711255335871283,0.9637239901813619
UBC_499,17190,0.1594078274117647,0.1332593629117647,[     8     10     16 ... 533355 533370 533375],0.12653176551892972,1.053169236714938
UBC_503,18235,0.06994555315517242,0.10623075684482758,[    16    167    171 ... 533348 533353 533371],0.1317620779904954,0.8062316446807288
UBC_508,15945,0.14157951894,0.12761698106,[    10     16    165 ... 533348 533355 533375],0.12613473319747484,1.0117513061228312
UBC_552,12006,-0.03314847788888889,0.0821923196111111,[    19     96    152 ... 533336 533385 533387],0.16083262068163254,0.5110425936154485
UBC_558,18008,0.007005753871428572,0.09077014,[    65     96    132 ... 533399 533420 533425],0.165469564363083,0.5485609413996332
UBC_559,17569,0.04810346966666667,0.10123758966666667,[   167    196    224 ... 533374 533385 533399],0.14553506607537434,0.6956233462953494
UBC_618,16563,0.15695433181818183,0.12202758818181816,[    18     29    145 ... 533341 533350 533398],0.12202455263659523,1.000024876511795
UBC_620,13524,0.07069617725555556,0.105508096,[    16     18    165 ... 533348 533355 533375],0.12691103593735714,0.8313547771533315
UBC_622,25905,0.030981662562499998,0.09819701256249999,[     8     16     18 ... 533382 533403 533428],0.1290555827771986,0.7608893040452747
UBC_627,23943,0.0935556433,0.1067654373,[    18     27     29 ... 533400 533403 533405],0.12245134888056868,0.8719008673733131
UBC_632,22410,0.08995175776923076,0.10872124350000001,[     4      8     16 ... 533355 533370 533428],0.13277254552488216,0.8188533485608678
UBC_651,19123,0.146259758,0.14325281539999998,[    40     65    166 ... 533399 533422 533425],0.1364321764136565,1.0499928914544587
UPK_436,16515,0.158290841125,0.123649551125,[    18     29    145 ... 533341 533350 533398],0.12426605403040193,0.9950388470108571
UPK_442,23860,0.16239272462142856,0.1285123175,[     8     16     18 ... 533371 533375 533431],0.1251298729044071,1.0270314715190105
UPK_457,12365,0.027947901833333334,0.09232395183333333,[    18     29    145 ... 533334 533341 533350],0.12292427110721395,0.7510636508294513
UPK_526,13448,-0.037050904911111106,0.09738112891111111,[     4     10     16 ... 533344 533427 533442],0.13558088944946622,0.7182511437012445
UPK_549,27548,0.0872737624,0.11485402189999999,[     4      8     16 ... 533403 533428 533431],0.14202002316422344,0.8087171043986501
UPK_560,25207,0.0764059808,0.10611371920000001,[     4      8     16 ... 533427 533428 533431],0.12697028855830925,0.8357366152733349
UPK_630,9980,0.005499541,0.0883769325,[    96    152    224 ... 533290 533336 533387],0.16490885430749494,0.5359138105174706
vdBergh_85,17287,0.1382340715,0.1197132915,[    18     29    145 ... 533348 533350 533371],0.1303116597095154,0.9186690720297725
