i,j,d_chem,d_act,d_age,d_total,name_i,name_j,hab_i,hab_j
11,22,2.100649992996005,1.1209078635767153,1.7066980383872132,4.928255894959934,CPD-63   349,HD  13684A,0.9921674773952948,0.9899241898742775
11,29,2.831475606292316,2.0962036128167245,0.029981487159873227,4.957660706268914,CPD-63   349,HD 180950,0.9921674773952948,0.9881504576735348
4,5,1.9452493234095536,1.2202297459729727,1.794551472911551,4.960030542294078,BD-02  3362,TYC 6897-1616-1,0.9942908938756364,0.9939321090920874
13,21,2.9431470729764615,1.4381192342178424,0.62140878907719,5.002675096271494,TYC 8351-1776-1,TYC 5232-208-1,0.991384927374343,0.9901450005093488
2,8,1.9113438846663804,0.5600640591319673,2.5322323533824713,5.003640297180819,TYC 7413-1369-1,CD-60  1593,0.9948926865069556,0.9934140821873566
0,7,2.4867943250153886,2.2938256817506018,0.2301091107357422,5.010729117501732,BD-03  3321,TYC 7915-779-1,0.9969227583789892,0.9934194074914954
1,4,2.6663537503167354,1.8574926715958682,0.4965233203651973,5.020369742277801,CD-30  7056,BD-02  3362,0.9953865433639338,0.9942908938756364
4,8,2.197813340750718,2.5387046557823836,0.28478987663299393,5.021307873166095,BD-02  3362,CD-60  1593,0.9942908938756364,0.9934140821873566
6,23,1.9254047386612234,2.496042261459324,0.6007672115720438,5.022214211692591,HD 271308,HD  13767,0.9935994695920594,0.9898647127489534
7,11,2.565460867175602,1.611552441778053,0.8458746414883471,5.022887950442001,TYC 7915-779-1,CPD-63   349,0.9934194074914954,0.9921674773952948
11,14,2.2632656882096285,2.1898519542290193,0.5749477110402299,5.028065353478878,CPD-63   349,HD 271200,0.9921674773952948,0.9913680789520726
7,30,3.559925356107619,1.1528320393352398,0.32022603801680716,5.032983433459666,TYC 7915-779-1,TYC 6883-1588-1,0.9934194074914954,0.988093216107945
25,26,2.3015846782087177,2.017848751537327,0.717220230874299,5.036653660620344,TYC 9271-1853-1,TYC 5606-566-1,0.9893123538849355,0.9889979972384932
9,13,3.8248220208807306,1.165852896725977,0.10776154882436542,5.098436466431073,TYC 9263-701-1,TYC 8351-1776-1,0.992456910945104,0.991384927374343
14,20,1.5912962219055935,2.066102344383582,1.4631245870058223,5.1205231532949975,HD 271200,TYC 8351-2149-1,0.9913680789520726,0.9902110765948476
6,29,2.4352382681350897,1.4615756828708433,1.2246981115166333,5.121512062522566,HD 271308,HD 180950,0.9935994695920594,0.9881504576735348
11,20,1.6596030799877617,1.428773413384216,2.0380722980460524,5.12644879141803,CPD-63   349,TYC 8351-2149-1,0.9921674773952948,0.9902110765948476
14,19,2.1439797784615604,2.489485192479925,0.5057693409270811,5.139234311868567,HD 271200,TYC 5248-636-1,0.9913680789520726,0.9902150085743344
0,8,1.9316737809939657,2.1995462480086885,1.0215020473219638,5.152722076324618,BD-03  3321,CD-60  1593,0.9969227583789892,0.9934140821873566
16,30,3.8480090085525815,1.028761347970829,0.2843135808916196,5.16108393741503,HD 122625,TYC 6883-1588-1,0.9910369520989836,0.988093216107945
0,19,3.8418263335190024,0.6387935466710993,0.6849439008657536,5.165563781055855,BD-03  3321,TYC 5248-636-1,0.9969227583789892,0.9902150085743344
3,26,3.66833955735124,1.1395125947568794,0.362972815186003,5.170824967294123,TYC 1071-934-1,TYC 5606-566-1,0.9944493696993356,0.9889979972384932
5,21,3.4018575840518306,0.9594285316885655,0.8131327344073944,5.17441885014779,TYC 6897-1616-1,TYC 5232-208-1,0.9939321090920874,0.9901450005093488
6,9,3.4427252194612454,0.4414980104032455,1.2982231839666794,5.182446413831171,HD 271308,TYC 9263-701-1,0.9935994695920594,0.992456910945104
5,28,1.4098178584775583,2.319619564077916,1.4681111052294837,5.197548527784958,TYC 6897-1616-1,HD 178528B,0.9939321090920874,0.9883660877914092
3,13,3.851591094200069,1.2817224517067465,0.07999536070660995,5.213308906613426,TYC 1071-934-1,TYC 8351-1776-1,0.9944493696993356,0.991384927374343
0,13,2.819273890743331,1.714660557405805,0.6799834942867975,5.213917942435933,BD-03  3321,TYC 8351-1776-1,0.9969227583789892,0.991384927374343
2,13,2.898949525343218,1.4971102686819286,0.8307468117737097,5.226806605798856,TYC 7413-1369-1,TYC 8351-1776-1,0.9948926865069556,0.991384927374343
8,11,2.621931272478816,0.9697225837876297,1.6372675780745687,5.228921434341014,CD-60  1593,CPD-63   349,0.9934140821873566,0.9921674773952948
5,22,2.433838335159084,0.9643860542921195,1.8342040201832248,5.232428409634428,TYC 6897-1616-1,HD  13684A,0.9939321090920874,0.9899241898742775
11,16,2.339052127084405,1.4671650815533792,1.4504142603967738,5.2566314690345575,CPD-63   349,HD 122625,0.9921674773952948,0.9910369520989836
5,9,3.483541518303945,1.6948867047751082,0.08396239650583898,5.262390619584893,TYC 6897-1616-1,TYC 9263-701-1,0.9939321090920874,0.992456910945104
