cluster,mg_fe_std,mg_fe_mean,mg_fe_n,si_fe_std,si_fe_mean,si_fe_n,ba_fe_std,ba_fe_mean,ba_fe_n,ce_fe_std,ce_fe_mean,ce_fe_n,eu_fe_std,eu_fe_mean,eu_fe_n,alpha_scatter,sproc_scatter,alpha_sproc_ratio,age_gyr
Collinder_205,0.015832238899588243,0.016544369033333336,6,0.05292427617598985,0.009662769583333333,6,0.09670543670654297,0.2244955599308014,5.0,0.16200700402259827,0.08683343976736069,5.0,0.21957983076572418,0.23561115562915802,5.0,0.034378257537789045,0.12935622036457062,0.26576423956187967,0.0045708802901852
Collinder_220,0.07531721068793383,-0.07784356566666668,6,0.07401463404144931,-0.04830459946666666,6,0.24724403023719788,0.0663745328783989,6.0,,,,0.12680332362651825,0.09154944121837616,5.0,0.07466592236469158,0.24724403023719788,0.30199282180062964,0.2344228197592381
Collinder_261,0.062301529730592727,0.021161633537500002,64,0.06471332958208462,0.0496971441859375,64,0.12486694753170013,-0.0021320912055671215,63.0,0.0832493007183075,0.04653584957122803,23.0,0.15085190534591675,0.09467002004384995,52.0,0.06350742965633867,0.10405812412500381,0.6103072700027528,6.309576215861531
Collinder_269,0.09713065632969117,0.08127468544666666,15,0.09787438597077,0.13352199868666667,15,0.15568770468235016,0.07681921124458313,15.0,0.13128428161144257,-0.03159760311245918,7.0,0.20486560463905334,0.07030251622200012,13.0,0.09750252115023059,0.14348599314689636,0.6795264054130401,0.4168692736211187
Collinder_271,0.06580650861376455,0.0215096323,31,0.06900668267947048,0.07905953951612903,31,0.1513192057609558,0.06639336049556732,31.0,0.0685744434595108,-0.0037786210887134075,14.0,0.148762509226799,0.11585250496864319,29.0,0.06740659564661752,0.1099468246102333,0.6130836055118198,0.0616594947701844
Collinder_272,0.142155448412904,0.2188206345,8,0.09314562556267161,0.0911014305,8,0.22091832756996155,-0.3767052888870239,8.0,,,,0.16171415150165558,0.21647076308727264,7.0,0.11765053698778781,0.22091832756996155,0.5325521801740494,0.045708802901852
Collinder_277,0.08098116646009522,0.020813424610769227,39,0.08333863695077019,0.07437552717871797,39,0.12394576519727707,0.03914283961057663,39.0,0.12446960061788559,-0.04199359938502312,26.0,0.24665743112564087,0.1562800109386444,36.0,0.0821599017054327,0.12420768290758133,0.6614719780785627,0.9772367059324804
Collinder_338,0.06971894899779521,0.0024428970950000012,20,0.08778518756663457,0.06906466974,20,0.14727579057216644,0.0450468584895134,20.0,0.11658978462219238,0.01727396249771118,11.0,0.17456720769405365,0.15387943387031555,16.0,0.0787520682822149,0.13193279504776,0.5969104819897619,0.1445439262895664
Collinder_359,0.11844208396994614,0.0206435278,5,0.0789393591580811,0.05381185559999999,5,0.13900499045848846,0.0231492780148983,5.0,,,,0.16345246136188507,0.13133122026920319,5.0,0.09869072156401362,0.13900499045848846,0.7099797010056698,0.0371535375952047
Collinder_74,0.0578289538776089,0.01716263864516129,31,0.05183782013953851,0.062086113645161305,31,0.17387212812900543,0.17940039932727814,31.0,0.11660498380661011,0.16132675111293793,15.0,0.15293067693710327,0.15146411955356598,28.0,0.05483338700857371,0.14523854851722717,0.37754017489420005,1.9054595463785964
Czernik_26,0.06777476078575433,0.01847018077636364,33,0.05855391725746161,0.06974845633333333,33,0.24627549946308136,0.16680864989757538,33.0,0.13379237055778503,0.11469105631113052,24.0,0.21512384712696075,0.17081424593925476,27.0,0.06316433902160797,0.1900339424610138,0.3323845109121302,0.5248077829311784
Czernik_30,0.07079042908219597,0.091980851,5,0.09609762334805177,0.1342279974,5,0.151607483625412,0.05264733359217644,5.0,,,,,,,0.08344402621512387,0.151607483625412,0.5503951666482065,2.8840317564502844
Czernik_39,0.09274411949474669,-0.001363462833333333,18,0.07849936630418833,0.06911096588888889,18,0.19768096506595612,0.09258060902357101,18.0,0.06943061202764511,0.018222229555249214,8.0,0.17434297502040863,0.12753689289093018,17.0,0.0856217428994675,0.13355578482151031,0.6410934802554309,0.1380385355838289
DBSB_101,0.08141285067898583,0.07147223511666667,6,0.03610226582500741,0.11421326366666668,6,0.10268063843250275,-0.02382866106927395,6.0,,,,0.2316223531961441,0.22470374405384064,5.0,0.05875755825199662,0.10268063843250275,0.57223600426502,0.0112201894707378
DBSB_104,0.05797436162585305,0.01370421962,5,0.021483997440595926,0.0632541836,5,0.10408332943916321,0.015414496883749962,5.0,,,,,,,0.03972917953322449,0.10408332943916321,0.38170550219039856,0.0269153374005781
DBSB_43,0.0929939977964122,-0.012623765181818182,11,0.06483447335198332,0.07380823245454546,11,0.16834422945976257,0.0648297518491745,11.0,0.1406121850013733,0.08493255823850632,6.0,0.20316056907176971,0.19392862915992737,10.0,0.07891423557419776,0.15447820723056793,0.5108438076084969,0.0245470816103821
DBSB_60,0.15356289756037905,-0.003787721000000001,8,0.14446384127258657,0.018130246250000003,8,0.14197701215744019,-0.06659357249736786,8.0,,,,0.22409000992774963,0.21101014316082,7.0,0.1490133694164828,0.14197701215744019,1.0495598347374708,
DC_5,0.03707361004018969,-0.0025138737941176473,17,0.04552386182201231,0.05489890652941177,17,0.21880708634853363,0.14766444265842438,17.0,0.15341831743717194,0.03135373443365097,15.0,0.1257396936416626,0.10303236544132233,16.0,0.041298735931101005,0.18611270189285278,0.2219017590474677,
