cluster_name,family,age_gyr,age_bin,ra_cl,dec_cl,dist_cl,C_O_mean,C_O_std,c_fe,o_fe,mg_fe,si_fe,al_fe,ba_fe,eu_fe,ce_fe,y_fe,mn_fe,ni_fe,fe_h
UBC_212,3,1.0715186464071411,1-2,100.957,-0.886,0.335,0.3767,0.1142,,,,,,0.1432175487279892,0.19352848827838898,0.06077428162097931,0.028140537440776825,-0.00807064026594162,0.0388515330851078,
UBC_215,5,0.407379955757968,0.3-0.5,100.461,-5.243,0.683,0.4334,0.1509,,,,,,0.04602690413594246,0.08116412907838821,-0.0480164960026741,-0.06595367193222046,0.005232024472206831,0.06337850540876389,
UBC_216,3,0.0616594947701844,<0.1,100.431,-5.789,0.825,0.3034,0.0965,,,,,,0.14209862053394318,0.16372716426849365,0.09707850217819214,0.00891461968421936,-0.023294227197766304,0.023759689182043076,
UBC_228,3,0.8128302305789092,0.5-1,118.378,-22.392,0.307,0.4355,0.0876,,,,,,0.181341752409935,0.10842836648225784,0.043568216264247894,-0.04199119657278061,-0.0512491911649704,0.04844614118337631,
UBC_232,1,0.3801893295314407,0.3-0.5,120.07,-24.269,0.293,0.3592,0.1087,,,,,,0.18730679154396057,0.14469896256923676,0.11796504259109497,-0.017874568700790405,-0.05152939632534981,0.02466273307800293,
UBC_239,1,0.2754226042194985,0.1-0.3,123.763,-30.155,0.467,0.3479,0.0962,,,,,,0.24889825284481049,0.2522633373737335,0.15099839866161346,0.010102965869009495,-0.013954305090010166,0.017707692459225655,
UBC_250,2,0.3311314705081584,0.3-0.5,118.12,-60.373,1.016,0.3887,0.0982,,,,,,0.10801113396883011,0.26158517599105835,-0.0172159131616354,-0.057691384106874466,-0.03339104354381561,0.03452868014574051,
UBC_252,3,0.9772367059324804,0.5-1,139.157,-54.145,0.172,0.314,0.1348,,,,,,0.21098291873931885,0.18931904435157776,0.08106346428394318,0.018171321600675583,-0.04576617479324341,0.028868872672319412,
UBC_254,4,0.1096478099832217,0.1-0.3,143.659,-54.375,0.525,0.4225,0.0656,,,,,,0.016927143558859825,0.10646932572126389,0.024147987365722656,0.02171190455555916,-0.0019110029097646475,0.037323758006095886,
UBC_258,3,0.0407380403044348,<0.1,158.917,-57.615,0.393,0.4059,0.0838,,,,,,0.15888544917106628,0.1835053414106369,0.03344786539673805,0.02089155651628971,-0.014307516627013683,0.03398265689611435,
UBC_259,3,0.102329353157667,0.1-0.3,157.621,-60.078,0.377,0.4094,0.0738,,,,,,0.08687698096036911,0.06271699070930481,0.04405086860060692,-0.03333229199051857,-0.02960449457168579,0.037029001861810684,
UBC_260,3,0.2344228197592381,0.1-0.3,140.148,-69.885,1.78,0.4218,0.0908,,,,,,0.10781388729810715,0.21867302060127258,0.05611838400363922,-0.036829639226198196,-0.050110820680856705,0.04263880476355553,
UBC_261,4,0.0186208705488312,<0.1,159.52,-60.503,0.222,0.4498,0.104,,,,,,0.22948609292507172,0.11297804862260818,0.05308633670210838,0.022733919322490692,-0.016356535255908966,0.027871374040842056,
UBC_262,3,0.1819701817628807,0.1-0.3,160.562,-60.48,0.267,0.4549,0.1065,,,,,,0.15526063740253448,0.13923560082912445,-0.0029122440610080957,-0.00327514111995697,-0.028308525681495667,0.047856200486421585,
UBC_263,4,0.0251188698309886,<0.1,162.656,-59.992,0.38,0.4134,0.1075,,,,,,0.14152958989143372,0.18519143760204315,0.10361114144325256,0.06598938256502151,-0.01455881167203188,0.01354453805834055,
UBC_264,1,0.2951211041237279,0.1-0.3,163.166,-60.595,0.333,0.4168,0.0861,,,,,,0.19887137413024902,0.11803002655506134,0.07184278964996338,0.061360958963632584,-0.020414289087057114,0.033558547496795654,
UBC_266,1,0.0128824994773753,<0.1,166.334,-59.759,0.356,0.4238,0.0822,,,,,,0.2877342402935028,0.16734641790390015,0.12115077674388885,0.17394068837165833,0.0023086133878678083,0.011635476723313332,
UBC_267,4,0.0128824994773753,<0.1,168.283,-58.901,0.311,0.2915,0.1644,,,,,,0.11825977265834808,0.04732096567749977,0.00226796418428421,0.049299612641334534,-0.004597308114171028,0.04949352145195007,
UBC_268,4,1.698241862446276,1-2,165.349,-63.655,0.23,0.4161,0.1537,,,,,,0.09498174488544464,0.19210779666900635,0.0101447943598032,0.03164243698120117,0.018936295062303543,0.04963900148868561,
UBC_270,4,0.1621810239813303,0.1-0.3,169.813,-59.552,0.389,0.3886,0.0944,,,,,,0.1425560861825943,0.15138612687587738,0.07402679324150085,0.16641582548618317,-0.0063781351782381535,0.026506617665290833,
UBC_272,2,0.0933253849940474,<0.1,168.099,-62.284,0.397,0.4236,0.1042,,,,,,0.03048449009656906,0.2797738313674927,0.07790648937225342,-0.08799520134925842,-0.036552686244249344,0.016099685803055763,
UBC_273,5,0.045708802901852,<0.1,170.302,-60.568,0.428,0.4173,0.1291,,,,,,-0.03196296840906143,0.13318310678005219,-0.009548867121338844,0.005489849951118231,0.02112695947289467,0.04868384078145027,
UBC_276,4,0.9120109194638908,0.5-1,172.884,-60.766,0.184,0.4356,0.1003,,,,,,0.15080775320529938,0.1442873179912567,0.06973803788423538,0.0022258679382503033,0.018061622977256775,0.04428833723068237,
UBC_277,4,0.102329353157667,0.1-0.3,174.042,-59.46,0.53,0.3298,0.0557,,,,,,0.16439203917980194,0.08674735575914383,-0.053931280970573425,0.014279242604970932,-0.039236146956682205,0.04879261180758476,
UBC_280,3,0.0512861429039393,<0.1,177.923,-62.646,0.398,0.4545,0.1028,,,,,,0.15112566947937012,0.15622830390930176,0.040229033678770065,-0.05061505362391472,-0.011842310428619385,0.05099472403526306,
UBC_281,4,0.0346736819996329,<0.1,178.121,-64.593,0.365,0.4118,0.1002,,,,,,0.25179174542427063,0.14980587363243103,0.023305198177695274,0.029806192964315414,-0.008905362337827682,0.05140285938978195,
UBC_282,4,0.1258926517592568,0.1-0.3,180.169,-60.504,0.299,0.3837,0.11,,,,,,0.13053454458713531,0.15533806383609772,0.056110214442014694,0.05389481410384178,0.005601045675575733,0.021757448092103004,
UBC_283,5,0.3162277660168379,0.3-0.5,179.651,-68.683,0.693,0.3537,0.151,,,,,,-0.21245573461055756,0.17609891295433044,0.008726204745471478,-0.005315969232469797,0.1295739859342575,0.08712227642536163,
UBC_285,3,0.0616594947701844,<0.1,184.671,-65.42,0.568,0.3459,0.0994,,,,,,0.1363614946603775,0.16255585849285126,0.0455479696393013,-0.017803728580474854,-0.023971401154994965,0.05439352989196777,
UBC_290,5,0.1905459546378596,0.1-0.3,191.949,-59.381,0.595,0.3407,0.1814,,,,,,0.04296954721212387,0.12376324832439423,0.021615467965602875,-0.037831805646419525,0.005692960228770971,0.061953213065862656,
UBC_292,5,0.069183121399144,<0.1,200.201,-61.258,0.431,0.4835,0.0844,,,,,,0.008620734326541424,0.10470204800367355,-0.051472291350364685,0.0317801758646965,0.04182929918169975,0.06317701935768127,
UBC_293,5,0.0199526319125486,<0.1,202.711,-61.775,0.291,0.3586,0.1653,,,,,,-0.42563578486442566,0.24554705619812012,-0.17798855900764465,0.20113615691661835,-0.011871453374624252,0.16316896677017212,
UBC_294,5,0.794327537013272,0.5-1,204.258,-58.073,0.617,0.491,0.1056,,,,,,-0.0004345107590779662,0.1992713212966919,-0.03412789851427078,-0.03162732720375061,-0.0007679224945604801,0.07198689877986908,
UBC_295,4,0.5011870135142811,0.5-1,207.554,-60.399,0.578,0.4738,0.1317,,,,,,0.03950420767068863,0.06623280793428421,0.01984500139951706,-0.014543067663908005,0.011806237511336803,0.0373857207596302,
UBC_296,3,0.2511884225153641,0.1-0.3,216.202,-61.046,0.476,0.3501,0.0544,,,,,,0.21935319900512695,0.2670964002609253,0.07943210750818253,0.09067635238170624,0.006006828509271145,0.05151314660906792,
UBC_297,4,0.3548135450617081,0.3-0.5,218.081,-62.222,0.327,0.3485,0.1746,,,,,,0.0962386354804039,0.0877605453133583,0.04008592292666435,0.05030206963419914,0.029944444075226784,0.04688911512494087,
UBC_299,5,0.2951211041237279,0.1-0.3,219.644,-62.153,0.317,0.4816,0.1116,,,,,,0.04770742356777191,0.08702803403139114,0.07645022869110107,0.011830979026854038,0.07058045268058777,0.07046693563461304,
UBC_301,5,0.2344228197592381,0.1-0.3,219.49,-58.996,0.595,0.4026,0.0698,,,,,,0.001192749827168882,0.05742495879530907,-0.06996003538370132,0.029452970251441002,-0.02239665389060974,0.05066993832588196,
UBC_302,4,0.5754402406055371,0.5-1,220.122,-55.385,0.838,0.3752,0.0754,,,,,,0.07183897495269775,0.14923915266990662,0.0347626693546772,0.015804463997483253,0.031502969563007355,0.04918496683239937,
UBC_303,5,0.7079464062202759,0.5-1,221.85,-56.255,0.537,0.4143,0.0923,,,,,,0.021208016201853752,0.10524484515190125,0.02237284928560257,-0.02631385065615177,-0.01237755548208952,0.05263059586286545,
UBC_313,5,0.0602559877171915,<0.1,246.139,-51.932,0.3,0.4457,0.1206,,,,,,-0.012555782683193684,0.10794113576412201,-0.01803578808903694,-0.018811989575624466,0.05025506019592285,0.06053639575839043,
UBC_314,4,3.090293803866819,2-5,243.386,-50.128,0.597,0.5138,0.1219,,,,,,0.02111991122364998,0.1464771181344986,0.04314465820789337,0.03899689018726349,0.061450328677892685,0.043423157185316086,
UBC_315,5,0.3715349680219835,0.3-0.5,246.376,-47.935,0.43,0.4523,0.104,,,,,,0.038281746208667755,0.10211651027202606,0.022529827430844307,0.03063196875154972,0.07958822697401047,0.08872178941965103,
UBC_317,5,0.323593827469971,0.3-0.5,250.65,-47.894,0.427,0.4938,0.1347,,,,,,0.056432247161865234,0.13162600994110107,-0.019063305109739304,0.04487011581659317,0.059678733348846436,0.0746496319770813,
UBC_318,5,0.0112201894707378,<0.1,251.144,-47.577,0.329,0.5343,0.1298,,,,,,0.07525455951690674,0.02774837613105774,-0.005672276020050049,0.06555168330669403,0.06472355872392654,0.06702552735805511,
UBC_32,5,0.1380385355838289,0.1-0.3,279.312,-14.096,3.563,0.3534,0.1062,,,,,,0.050717953592538834,0.12796160578727722,0.05306928977370262,-0.044412992894649506,0.01180148683488369,0.06384710222482681,
