cluster,age_gyr,n_match,n_rv,cl_rv,med_drv_match,med_drv_rand,ratio,frac_in10_match,frac_in10_rand,mw_p
NGC_5381,0.3548135450617081,24317,24317,-27.9379504,36.20262145996094,37.24965286254883,0.9718915124806281,0.12448081589011803,0.12797631286754121,3.279075e-09
NGC_5460,0.1584892496402718,23164,23164,1.8634922999999999,22.526180267333984,23.86626434326172,0.943850279346039,0.23994128820583666,0.23130720082887238,7.301023e-15
NGC_5617,0.1047129651766653,27856,27856,-31.89313275,39.533390045166016,40.64052200317383,0.9727579296860077,0.10697874784606548,0.11293796668581275,1.2782987e-10
NGC_5662,0.1995263191254866,22951,22951,-28.71242841666667,36.63333511352539,38.026676177978516,0.9633588521402242,0.12705328743845584,0.12308831859178249,2.676987e-15
NGC_5749,0.0524807206714521,5463,5463,-20.381487612500003,31.22895050048828,32.4278678894043,0.9630281770912309,0.15888705839282447,0.16090060406370127,0.0060629463
NGC_5822,0.9120109194638908,19309,19309,-37.02391443333334,42.8353271484375,45.333011627197266,0.944903627861748,0.10689315863069035,0.09384224972810606,3.552642e-21
NGC_6124,0.1905459546378596,20473,20473,1.3496565571428583,23.1807861328125,23.970428466796875,0.9670576462545021,0.23704391149318615,0.2263957407316954,3.2382843e-09
NGC_6152,0.2238723104986867,21104,21104,-50.883262941176476,56.27060317993164,57.838348388671875,0.9728943641646709,0.06373199393479909,0.05960955269143291,1.152101e-12
NGC_6167,0.1548815122441698,18151,18151,-29.425097210526317,36.422664642333984,38.91936492919922,0.9358494083496186,0.13189355958349402,0.12004848217729051,2.1153234e-22
NGC_6178,0.016595861056887,20895,20895,-31.46593264736842,38.607662200927734,40.681644439697266,0.9490192132758101,0.12404881550610194,0.11155778894472362,8.308733e-20
NGC_6204,0.0933253849940474,21483,21483,-19.190744672999998,29.16238021850586,31.450292587280273,0.9272530656932668,0.16990178280500862,0.16138341944793558,3.138488e-26
NGC_6250,0.0239883355113592,6385,6385,-33.839092,38.62977600097656,42.71220397949219,0.9044201048375832,0.12341425215348473,0.10133124510571652,8.550208e-15
NGC_6318,0.0097723670593248,18608,18608,-9.13641285,25.659156799316406,26.78635597229004,0.957918905649589,0.20786758383490972,0.2002901977644024,6.3355263e-09
NGC_6645,0.512861429039393,9065,9065,-13.495001,28.59377098083496,28.24575424194336,1.0123210283538762,0.18113623827909542,0.18411472697186984,0.028180504
NGC_6694,0.1412536303897631,21308,21308,14.811910599285714,23.63683319091797,24.344467163085938,0.9709324518204707,0.22775483386521495,0.22033977848695327,4.459845e-09
NGC_6756,0.0478629903136986,15745,15745,-24.515759616666667,33.76683044433594,34.53980255126953,0.9776208301774099,0.14925373134328357,0.14582407113369322,0.00030101373
Patchick_90,1.096478099832217,22997,22997,39.53250945344828,34.30856704711914,37.1875,0.9225833155527836,0.13932252032873854,0.12753837457059616,5.0481493e-28
Pismis_15,0.8709627484287175,11069,11069,28.107349152941172,28.56683349609375,29.197107315063477,0.9784131416798076,0.1860149968380161,0.1847502032703948,0.08560207
Pismis_20,,6406,6406,-32.301144,40.161949157714844,41.04229736328125,0.9785502210616013,0.1195753980643147,0.10817983140805496,0.0033404953
Pismis_21,,9270,9270,-21.078302872727274,33.4230842590332,32.47319030761719,1.029251636270342,0.15026968716289105,0.15674217907227617,0.4245222
Pismis_23,,15793,15793,-45.32605216666667,51.82261657714844,52.1735954284668,0.9932728643974791,0.08396124865446716,0.07427341227125941,0.0014131385
Pozzo_1,0.0095499262796311,12141,12141,36.973267549999996,33.20144271850586,35.104984283447266,0.9457757465557686,0.1475990445597562,0.14043324273124125,1.1253416e-08
Ruprecht_1,0.2884031756450284,17139,17139,45.98979407407407,39.890724182128906,42.29949188232422,0.9430544530677478,0.11529260750335492,0.1081159927650388,4.978594e-13
Ruprecht_105,0.3890452816839944,12610,12610,-15.963168085714285,30.068681716918945,30.077404022216797,0.9997100047167831,0.16613798572561458,0.1710547184773989,0.044232063
Ruprecht_119,0.0478629903136986,18576,18576,-26.55159775923077,35.21135711669922,36.38175964355469,0.9678299637422069,0.13824289405684753,0.12763781223083548,8.771864e-09
Ruprecht_121,0.1778279410038923,10339,10339,-38.42280565,43.040348052978516,46.38795852661133,0.9278344945550386,0.10242770093819518,0.09623754715156205,4.083716e-13
