cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
NGC_6705,18,0.5446,0.1028,0.0,0.046,0.16,2.16,34.14,0.3090293803866819,0.3-0.5,6.138198554823408,-0.09780216736072088,0.09780216736072088
LP_866,14,0.4851,0.1028,0.0,0.065,0.137,-14.9,36.49,1.9054595463785964,1-2,5.633650974966524,-0.09302052200502002,0.09302052200502002
FSR_0985,9,0.2408,0.1029,0.0458,-0.177,0.176,35.62,44.91,0.2570394879669198,0.1-0.3,10.150795392087678,-0.18239898297228582,0.18239898297228582
NGC_2849,10,0.3308,0.1029,0.062,-0.151,0.269,41.39,28.11,1.047129651766654,1-2,11.148224706308145,0.8026153455642572,0.8026153455642572
UBC_531,4,0.4691,0.103,0.0502,0.025,0.192,-30.4,39.72,0.0812830230578909,<0.1,6.588013817374203,-0.057028922477346075,0.057028922477346075
UBC_526,15,0.4496,0.1031,0.0,0.093,0.167,-22.33,29.86,0.018197018176288,<0.1,7.050099955009358,0.02453077713725123,0.02453077713725123
UBC_506,17,0.4999,0.1032,0.0,-0.041,0.207,9.34,16.84,0.2691536695250797,0.1-0.3,7.777590129795476,-0.16654941527145253,0.16654941527145253
Teutsch_31,12,0.4836,0.1032,0.0,-0.017,0.125,17.05,25.87,1.6595879278457617,1-2,8.84397711041925,0.01693439941885318,0.01693439941885318
UBC_515,14,0.4365,0.1033,0.0,-0.044,0.207,-9.1,15.81,0.008128302305789,<0.1,7.267020939849194,-0.03816229718021462,0.03816229718021462
UBC_517,26,0.4579,0.1035,0.0,-0.005,0.165,-15.3,21.58,0.0223872064696397,<0.1,7.265620146594139,-0.03963327941659915,0.03963327941659915
Collinder_271,31,0.4206,0.1039,0.0,0.024,0.159,-18.82,29.26,0.0616594947701844,<0.1,6.800414099592398,-0.06453800786357992,0.06453800786357992
UBC_261,26,0.4498,0.104,0.0727,0.019,0.113,-0.02,17.64,0.0186208705488312,<0.1,8.036594004398896,-0.12129437951892467,0.12129437951892467
UBC_315,13,0.4523,0.104,0.0,0.134,0.119,-37.56,22.3,0.3715349680219835,0.3-0.5,6.082205270208402,0.052637308967985755,0.052637308967985755
UBC_272,8,0.4236,0.1042,0.0286,-0.078,0.191,0.04,30.81,0.0933253849940474,<0.1,7.562364493181853,-0.051599376210117495,0.051599376210117495
UBC_474,18,0.4681,0.1042,0.0,-0.024,0.178,53.11,25.91,0.7413100459583173,0.5-1,11.616322995506335,0.20599742852049094,0.20599742852049094
NGC_1817,51,0.3619,0.1043,0.0417,-0.156,0.174,32.42,38.12,1.1220189470737862,1-2,9.882676441875407,-0.383944817667296,0.383944817667296
UBC_442,16,0.2898,0.1045,0.0084,-0.112,0.244,41.11,29.48,1.4454392628956645,1-2,12.647997022372545,-0.3398348614043428,0.3398348614043428
UBC_82,9,0.4652,0.1045,0.0,-0.21,0.214,48.66,19.13,0.2754226042194985,0.1-0.3,10.341256350376709,-0.06951035696971429,0.06951035696971429
Ruprecht_111,11,0.4951,0.1046,0.0464,0.07,0.152,-27.3,24.7,0.9120109194638908,0.5-1,7.125529094601019,0.025484600713012246,0.025484600713012246
NGC_2215,5,0.4151,0.1048,0.0,-0.293,0.097,79.41,39.13,0.6918312139914402,0.5-1,8.920655293021806,-0.14903475063349722,0.14903475063349722
UBC_206,6,0.2414,0.1049,0.0589,-0.222,0.21,22.66,14.29,0.1862089099377868,0.1-0.3,9.865015015580601,-0.23709857390068148,0.23709857390068148
UBC_662,22,0.3782,0.1053,0.0,-0.003,0.172,-1.13,26.49,0.0436515698042876,<0.1,7.422078764540736,0.0698412935811344,0.0698412935811344
NGC_2225,13,0.3333,0.1054,0.0298,-0.149,0.17,35.71,31.19,1.380385355838289,1-2,10.97990764777612,-0.5629579718095202,0.5629579718095202
UBC_294,21,0.491,0.1056,0.0,-0.023,0.208,-23.54,33.33,0.794327537013272,0.5-1,7.215993209360385,0.1387368320857044,0.1387368320857044
NGC_2251,5,0.259,0.1058,0.067,-0.23,0.179,41.35,9.18,0.2754226042194985,0.1-0.3,9.533921754806967,0.027308077187456,0.027308077187456
Lynga_6,5,0.4138,0.1059,0.0,0.124,0.104,-2.96,34.27,0.0030902938038668,<0.1,5.993645765649388,0.028785788969640864,0.028785788969640864
UBC_653,17,0.3847,0.1059,0.0748,-0.087,0.193,8.78,19.11,0.0309029380386681,<0.1,7.782106861233355,0.004829870652591179,0.004829870652591179
Gulliver_40,15,0.4524,0.106,0.0,-0.013,0.187,4.9,26.41,0.0416869273621118,<0.1,7.771408111013089,0.047544890230820494,0.047544890230820494
UBC_523,15,0.5032,0.1062,0.0,-0.046,0.208,-12.78,23.92,0.1659587927845761,0.1-0.3,6.9505579523441074,-0.17083209609896835,0.17083209609896835
UBC_32,15,0.3534,0.1062,0.0,-0.001,0.156,10.83,47.56,0.1380385355838289,0.1-0.3,7.857251782374864,0.00394290738101721,0.00394290738101721
LP_198,22,0.3816,0.1063,0.052,-0.188,0.178,50.61,22.8,0.2570394879669198,0.1-0.3,10.604074349962392,-0.05364350495413055,0.05364350495413055
UBC_505,15,0.4717,0.1064,0.0519,-0.041,0.143,4.26,15.38,0.602559215586761,0.5-1,7.795048166665922,-0.045691625672884026,0.045691625672884026
UBC_640,21,0.3821,0.1065,0.0,-0.153,0.156,53.89,19.89,0.0870963704709874,<0.1,11.466930330455657,0.1690172134293116,0.1690172134293116
UBC_262,24,0.4549,0.1065,0.0834,-0.031,0.187,5.75,22.43,0.1819701817628807,0.1-0.3,7.844445862317872,-0.07991746476196886,0.07991746476196886
FSR_1663,17,0.4657,0.1066,0.0,0.013,0.183,-20.45,25.71,1.288248533293805,1-2,6.463623445383242,0.14911765599776325,0.14911765599776325
NGC_6025,19,0.4558,0.1066,0.0,-0.02,0.302,-18.78,59.42,0.1047129651766653,0.1-0.3,7.49752154305216,-0.06141384152730818,0.06141384152730818
