MAIN RUN: 8000 simulations
  to do: 8000 simulations across 4 workers
    7825/8000  elapsed=1023s  rate=7.65/s  ETA=23s
    7850/8000  elapsed=1026s  rate=7.65/s  ETA=20s
    7875/8000  elapsed=1029s  rate=7.66/s  ETA=16s
    7900/8000  elapsed=1032s  rate=7.65/s  ETA=13s
    7925/8000  elapsed=1036s  rate=7.65/s  ETA=10s
    7950/8000  elapsed=1039s  rate=7.65/s  ETA=7s
    7975/8000  elapsed=1043s  rate=7.65/s  ETA=3s
    8000/8000  elapsed=1045s  rate=7.65/s  ETA=0s

saved phase_c_results.csv
